Brew_ID,Name,City,State,Region
1,NorthGate Brewing ,Minneapolis, MN,MIDWEST
2,Against the Grain Brewery,Louisville, KY,SOUTH
3,Jack's Abby Craft Lagers,Framingham, MA,NORTHEAST
4,Mike Hess Brewing Company,San Diego, CA,WEST
5,Fort Point Beer Company,San Francisco, CA,WEST
6,COAST Brewing Company,Charleston, SC,SOUTH
7,Great Divide Brewing Company,Denver, CO,WEST
8,Tapistry Brewing,Bridgman, MI,MIDWEST
9,Big Lake Brewing,Holland, MI,MIDWEST
10,The Mitten Brewing Company,Grand Rapids, MI,MIDWEST
11,Brewery Vivant,Grand Rapids, MI,MIDWEST
12,Petoskey Brewing,Petoskey, MI,MIDWEST
13,Blackrocks Brewery,Marquette, MI,MIDWEST
14,Perrin Brewing Company,Comstock Park, MI,MIDWEST
15,Witch's Hat Brewing Company,South Lyon, MI,MIDWEST
16,Founders Brewing Company,Grand Rapids, MI,MIDWEST
17,Flat 12 Bierwerks,Indianapolis, IN,MIDWEST
18,Tin Man Brewing Company,Evansville, IN,MIDWEST
19,Black Acre Brewing Co.,Indianapolis, IN,MIDWEST
20,Brew Link Brewing,Plainfield, IN,MIDWEST
21,Bare Hands Brewery,Granger, IN,MIDWEST
22,Three Pints Brewing,Martinsville, IN,MIDWEST
23,Four Fathers Brewing ,Valparaiso, IN,MIDWEST
24,Indiana City Brewing,Indianapolis, IN,MIDWEST
25,Burn 'Em Brewing,Michigan City, IN,MIDWEST
26,Sun King Brewing Company,Indianapolis, IN,MIDWEST
27,Evil Czech Brewery,Mishawaka, IN,MIDWEST
28,450 North Brewing Company,Columbus, IN,MIDWEST
29,Taxman Brewing Company,Bargersville, IN,MIDWEST
30,Cedar Creek Brewery,Seven Points, TX,SOUTH
31,SanTan Brewing Company,Chandler, AZ,WEST
32,Boulevard Brewing Company,Kansas City, MO,MIDWEST
33,James Page Brewing Company,Stevens Point, WI,MIDWEST
34,The Dudes' Brewing Company,Torrance, CA,WEST
35,Ballast Point Brewing Company,San Diego, CA,WEST
36,Anchor Brewing Company,San Francisco, CA,WEST
37,Figueroa Mountain Brewing Company,Buellton, CA,WEST
38,Avery Brewing Company,Boulder, CO,WEST
39,Twisted X Brewing Company,Dripping Springs, TX,SOUTH
40,Gonzo's BiggDogg Brewing,Kalamazoo, MI,MIDWEST
41,Big Muddy Brewing,Murphysboro, IL,MIDWEST
42,Lost Nation Brewing,East Fairfield, VT,NORTHEAST
43,Rising Tide Brewing Company,Portland, ME,NORTHEAST
44,Rivertowne Brewing Company,Export, PA,NORTHEAST
45,Revolution Brewing Company,Chicago, IL,MIDWEST
46,Tallgrass Brewing Company,Manhattan, KS,MIDWEST
47,Sixpoint Craft Ales,Brooklyn, NY,NORTHEAST
48,White Birch Brewing,Hooksett, NH,NORTHEAST
49,Firestone Walker Brewing Company,Paso Robles, CA,WEST
50,SweetWater Brewing Company,Atlanta, GA,SOUTH
51,Flying Mouse Brewery,Troutville, VA,SOUTH
52,Upslope Brewing Company,Boulder, CO,WEST
53,Pipeworks Brewing Company,Chicago, IL,MIDWEST
54,Bent Brewstillery,Roseville, MN,MIDWEST
55,Flesk Brewing Company,Lombard, IL,MIDWEST
56,Pollyanna Brewing Company,Lemont, IL,MIDWEST
57,BuckleDown Brewing,Lyons, IL,MIDWEST
58,Destihl Brewery,Bloomington, IL,MIDWEST
59,Summit Brewing Company,St. Paul, MN,MIDWEST
60,Latitude 42 Brewing Company,Portage, MI,MIDWEST
61,4 Hands Brewing Company,Saint Louis, MO,MIDWEST
62,Surly Brewing Company,Brooklyn Center, MN,MIDWEST
63,Against The Grain Brewery,Louisville, KY,SOUTH
64,Crazy Mountain Brewing Company,Edwards, CO,WEST
65,SlapShot Brewing Company,Chicago, IL,MIDWEST
66,Mikerphone Brewing,Chicago, IL,MIDWEST
67,Freetail Brewing Company,San Antonio, TX,SOUTH
68,3 Daughters Brewing,St Petersburg, FL,SOUTH
69,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD,NORTHEAST
70,Appalachian Mountain Brewery,Boone, NC,SOUTH
71,Birdsong Brewing Company,Charlotte, NC,SOUTH
72,Union Craft Brewing,Baltimore, MD,NORTHEAST
73,Atwater Brewery,Detroit, MI,MIDWEST
74,Ale Asylum,Madison, WI,MIDWEST
75,Two Brothers Brewing Company,Warrenville, IL,MIDWEST
76,Bent Paddle Brewing Company,Duluth, MN,MIDWEST
77,Bell's Brewery,Kalamazoo, MI,MIDWEST
78,Blue Owl Brewing,Austin, TX,SOUTH
79,Speakasy Ales & Lagers,San Francisco, CA,WEST
80,Black Tooth Brewing Company,Sheridan, WY,WEST
81,Hopworks Urban Brewery,Portland, OR,WEST
82,Epic Brewing,Denver, CO,WEST
83,New Belgium Brewing Company,Fort Collins, CO,WEST
84,Sierra Nevada Brewing Company,Chico, CA,WEST
85,Keweenaw Brewing Company,Houghton, MI,MIDWEST
86,Brewery Terra Firma,Traverse City, MI,MIDWEST
87,Grey Sail Brewing Company,Westerly, RI,NORTHEAST
88,Kirkwood Station Brewing Company,Kirkwood, MO,MIDWEST
89,Goose Island Brewing Company,Chicago, IL,MIDWEST
90,Broad Brook Brewing LLC,East Windsor, CT,NORTHEAST
91,The Lion Brewery,Wilkes-Barre, PA,NORTHEAST
92,Madtree Brewing Company,Cincinnati, OH,MIDWEST
93,Jackie O's Pub & Brewery,Athens, OH,MIDWEST
94,Rhinegeist Brewery,Cincinnati, OH,MIDWEST
95,Warped Wing Brewing Company,Dayton, OH,MIDWEST
96,Blackrocks Brewery,Marquette, MA,NORTHEAST
97,Catawba Valley Brewing Company,Morganton, NC,SOUTH
98,Tröegs Brewing Company,Hershey, PA,NORTHEAST
99,Mission Brewery,San Diego, CA,WEST
100,Christian Moerlein Brewing Company,Cincinnati, OH,MIDWEST
101,West Sixth Brewing,Lexington, KY,SOUTH
102,Coastal Extreme Brewing Company,Newport, RI,NORTHEAST
103,King Street Brewing Company,Anchorage, AK,WEST
104,Beer Works Brewery,Lowell, MA,NORTHEAST
105,Lone Tree Brewing Company,Lone Tree, CO,WEST
106,Four String Brewing Company,Columbus, OH,MIDWEST
107,Glabrous Brewing Company,Pineland, ME,NORTHEAST
108,Bonfire Brewing Company,Eagle, CO,WEST
109,Thomas Hooker Brewing Company,Bloomfield, CT,NORTHEAST
110,"Woodstock Inn, Station & Brewery",North Woodstock, NH,NORTHEAST
111,Renegade Brewing Company,Denver, CO,WEST
112,Mother Earth Brew Company,Vista, CA,WEST
113,Black Market Brewing Company,Temecula, CA,WEST
114,Vault Brewing Company,Yardley, PA,NORTHEAST
115,Jailbreak Brewing Company,Laurel, MD,NORTHEAST
116,Smartmouth Brewing Company,Norfolk, VA,SOUTH
117,Base Camp Brewing Co.,Portland, OR,WEST
118,Alameda Brewing,Portland, OR,WEST
119,Southern Star Brewing Company,Conroe, TX,SOUTH
120,Steamworks Brewing Company,Durango, CO,WEST
121,Horny Goat Brew Pub,Milwaukee, WI,MIDWEST
122,Cheboygan Brewing Company,Cheboygan, MI,MIDWEST
123,Center of the Universe Brewing C...,Ashland, VA,SOUTH
124,Ipswich Ale Brewery,Ipswich, MA,NORTHEAST
125,Griffin Claw Brewing Company,Birmingham, MI,MIDWEST
126,Karbach Brewing Company,Houston, TX,SOUTH
127,Uncle Billy's Brewery and Smokeh...,Austin, TX,SOUTH
128,Deep Ellum Brewing Company,Dallas, TX,SOUTH
129,Real Ale Brewing Company,Blanco, TX,SOUTH
130,Straub Brewery,St Mary's, PA,NORTHEAST
131,Shebeen Brewing Company,Wolcott, CT,NORTHEAST
132,Stevens Point Brewery,Stevens Point, WI,MIDWEST
133,Weston Brewing Company,Weston, MO,MIDWEST
134,Southern Prohibition Brewing Com...,Hattiesburg, MS,SOUTH
135,Minhas Craft Brewery,Monroe, WI,MIDWEST
136,Pug Ryan's Brewery,Dillon, CO,WEST
137,Hops & Grains Brewing Company,Austin, TX,SOUTH
138,Sietsema Orchards and Cider Mill,Ada, MI,MIDWEST
139,Summit Brewing Company,St Paul, MN,MIDWEST
140,Core Brewing & Distilling Company,Springdale, AR,SOUTH
141,Independence Brewing Company,Austin, TX,SOUTH
142,Cigar City Brewing Company,Tampa, FL,SOUTH
143,Third Street Brewhouse,Cold Spring, MN,MIDWEST
144,Narragansett Brewing Company,Providence, RI,NORTHEAST
145,Grimm Brothers Brewhouse,Loveland, CO,WEST
146,Cisco Brewers,Nantucket, MA,NORTHEAST
147,Angry Minnow,Hayward, WI,MIDWEST
148,Platform Beer Company,Cleveland, OH,MIDWEST
149,Odyssey Beerwerks,Arvada, CO,WEST
150,Lonerider Brewing Company,Raleigh, NC,SOUTH
151,Oakshire Brewing,Eugene, OR,WEST
152,Fort Pitt Brewing Company,Latrobe, PA,NORTHEAST
153,Tin Roof Brewing Company,Baton Rouge, LA,SOUTH
154,Three Creeks Brewing,Sisters, OR,WEST
155,2 Towns Ciderhouse,Corvallis, OR,WEST
156,Caldera Brewing Company,Ashland, OR,WEST
157,Greenbrier Valley Brewing Company,Lewisburg, WV,SOUTH
158,Phoenix Ale Brewery,Phoenix, AZ,WEST
159,Lumberyard Brewing Company,Flagstaff, AZ,WEST
160,Uinta Brewing Company,Salt Lake City, UT,WEST
161,Four Peaks Brewing Company,Tempe, AZ,WEST
162,Martin House Brewing Company,Fort Worth, TX,SOUTH
163,Right Brain Brewery,Traverse City, MI,MIDWEST
164,Sly Fox Brewing Company,Phoenixville, PA,NORTHEAST
165,Round Guys Brewing,Lansdale, PA,NORTHEAST
166,Great Crescent Brewery,Aurora, IN,MIDWEST
167,Oskar Blues Brewery,Longmont, CO,WEST
168,Boxcar Brewing Company,West Chester, PA,NORTHEAST
169,High Hops Brewery,Windsor, CO,WEST
170,Crooked Fence Brewing Company,Garden City, ID,WEST
171,Everybody's Brewing,White Salmon, WA,WEST
172,Anderson Valley Brewing Company,Boonville, CA,WEST
173,Fiddlehead Brewing Company,Shelburne, VT,NORTHEAST
174,Evil Twin Brewing,Brooklyn, NY,NORTHEAST
175,New Orleans Lager & Ale Brewing ...,New Orleans, LA,SOUTH
176,Spiteful Brewing Company,Chicago, IL,MIDWEST
177,Rahr & Sons Brewing Company,Fort Worth, TX,SOUTH
178,18th Street Brewery,Gary, IN,MIDWEST
179,Cambridge Brewing Company,Cambridge, MA,NORTHEAST
180,Carolina Brewery,Pittsboro, NC,SOUTH
181,Frog Level Brewing Company,Waynesville, NC,SOUTH
182,Wild Wolf Brewing Company,Nellysford, VA,SOUTH
183,COOP Ale Works,Oklahoma City, OK,SOUTH
184,Seventh Son Brewing Company,Columbus, OH,MIDWEST
185,Oasis Texas Brewing Company,Austin, TX,SOUTH
186,Vander Mill Ciders,Spring Lake, MI,MIDWEST
187,St. Julian Winery,Paw Paw, MI,MIDWEST
188,Pedernales Brewing Company,Fredericksburg, TX,SOUTH
189,Mother's Brewing,Springfield, MO,MIDWEST
190,Modern Monks Brewery,Lincoln, NE,MIDWEST
191,Two Beers Brewing Company,Seattle, WA,WEST
192,Snake River Brewing Company,Jackson, WY,WEST
193,Capital Brewery,Middleton, WI,MIDWEST
194,Anthem Brewing Company,Oklahoma City, OK,SOUTH
195,Goodlife Brewing Co.,Bend, OR,WEST
196,Breakside Brewery,Portland, OR,WEST
197,Goose Island Brewery Company,Chicago, IL,MIDWEST
198,Burnside Brewing Co.,Portland, OR,WEST
199,Hop Valley Brewing Company,Springfield, OR,WEST
200,Worthy Brewing Company,Bend, OR,WEST
201,Occidental Brewing Company,Portland, OR,WEST
202,Fearless Brewing Company,Estacada, OR,WEST
203,Upland Brewing Company,Bloomington, IN,MIDWEST
204,Mehana Brewing Co.,Hilo, HI,WEST
205,Hawai'i Nui Brewing Co.,Hilo, HI,WEST
206,People's Brewing Company,Lafayette, IN,MIDWEST
207,Fort George Brewery,Astoria, OR,WEST
208,Branchline Brewing Company,San Antonio, TX,SOUTH
209,Kalona Brewing Company,Kalona, IA,MIDWEST
210,Modern Times Beer,San Diego, CA,WEST
211,Temperance Beer Company,Evanston, IL,MIDWEST
212,Wisconsin Brewing Company,Verona, WI,MIDWEST
213,Crow Peak Brewing Company,Spearfish, SD,MIDWEST
214,Grapevine Craft Brewery,Farmers Branch, TX,SOUTH
215,Buffalo Bayou Brewing Company,Houston, TX,SOUTH
216,Texian Brewing Co.,Richmond, TX,SOUTH
217,Orpheus Brewing,Atlanta, GA,SOUTH
218,Forgotten Boardwalk,Cherry Hill, NJ,NORTHEAST
219,Laughing Dog Brewing Company,Ponderay, ID,WEST
220,Bozeman Brewing Company,Bozeman, MT,WEST
221,Big Choice Brewing,Broomfield, CO,WEST
222,Big Storm Brewing Company,Odessa, FL,SOUTH
223,Carton Brewing Company,Atlantic Highlands, NJ,NORTHEAST
224,Midnight Sun Brewing Company,Anchorage, AK,WEST
225,Fat Head's Brewery,Middleburg Heights, OH,MIDWEST
226,Refuge Brewery,Temecula, CA,WEST
227,Chatham Brewing,Chatham, NY,NORTHEAST
228,DC Brau Brewing Company,Washington, DC,NORTHEAST
229,Geneva Lake Brewing Company,Lake Geneva, WI,MIDWEST
230,Rochester Mills Brewing Company,Rochester, MI,MIDWEST
231,Cape Ann Brewing Company,Gloucester, MA,NORTHEAST
232,Borderlands Brewing Company,Tucson, AZ,WEST
233,College Street Brewhouse and Pub,Lake Havasu City, AZ,WEST
234,Joseph James Brewing Company,Henderson, NV,WEST
235,Harpoon Brewery,Boston, MA,NORTHEAST
236,Back East Brewing Company,Bloomfield, CT,NORTHEAST
237,Champion Brewing Company,Charlottesville, VA,SOUTH
238,Devil's Backbone Brewing Company,Lexington, VA,SOUTH
239,Newburgh Brewing Company,Newburgh, NY,NORTHEAST
240,Wiseacre Brewing Company,Memphis, TN,SOUTH
241,Golden Road Brewing,Los Angeles, CA,WEST
242,New Republic Brewing Company,College Station, TX,SOUTH
243,Infamous Brewing Company,Austin, TX,SOUTH
244,Two Henrys Brewing Company,Plant City, FL,SOUTH
245,Lift Bridge Brewing Company,Stillwater, MN,MIDWEST
246,Lucky Town Brewing Company,Jackson, MS,SOUTH
247,Quest Brewing Company,Greenville, SC,SOUTH
248,Creature Comforts,Athens, GA,SOUTH
249,Half Full Brewery,Stamford, CT,NORTHEAST
250,Southampton Publick House,Southampton, NY,NORTHEAST
251,Chapman's Brewing,Angola, IN,MIDWEST
252,Barrio Brewing Company,Tucson, AZ,WEST
253,Santa Cruz Mountain Brewing,Santa Cruz, CA,WEST
254,Frankenmuth Brewery,Frankenmuth, MI,MIDWEST
255,Meckley's Cidery,Somerset Center, MI,MIDWEST
256,Stillwater Artisanal Ales,Baltimore, MD,NORTHEAST
257,Finch's Beer Company,Chicago, IL,MIDWEST
258,South Austin Brewery,South Austin, TX,SOUTH
259,Bauhaus Brew Labs,Minneapolis, MN,MIDWEST
260,Ozark Beer Company,Rogers, AR,SOUTH
261,Mountain Town Brewing Company ,Mount Pleasant, MI,MIDWEST
262,Otter Creek Brewing,Waterbury, VT,NORTHEAST
263,The Brewer's Art,Baltimore, MD,NORTHEAST
264,Denver Beer Company,Denver, CO,WEST
265,Ska Brewing Company,Durango, CO,WEST
266,Tractor Brewing Company,Albuquerque, NM,WEST
267,Peak Organic Brewing Company,Portland, ME,NORTHEAST
268,Cape Cod Beer,Hyannis, MA,NORTHEAST
269,Long Trail Brewing Company,Bridgewater Corners, VT,NORTHEAST
270,Great Raft Brewing Company,Shreveport, LA,SOUTH
271,Alaskan Brewing Company,Juneau, AK,WEST
272,Notch Brewing Company,Ipswich, MA,NORTHEAST
273,The Alchemist,Waterbury, VT,NORTHEAST
274,Three Notch'd Brewing Company,Charlottesville, VA,SOUTH
275,Portside Brewery,Cleveland, OH,MIDWEST
276,Otter Creek Brewing,Middlebury, VT,NORTHEAST
277,Montauk Brewing Company,Montauk, NY,NORTHEAST
